"Airport1","Airport2","Jaccard","Overlap","Cosine"
"TVC","GFK","0.36256643887623385","1.0","0.8292095459602241"
"TOL","HTS","0.514487079091621","1.0","0.9230182374613571"
"ACT","ABI","0.5333333333333333","1.0","0.999387853778316"
"VIS","IYK","0.5885167464114832","1.0","0.9790274745055265"
"VIS","CLD","0.41148325358851673","1.0","0.9790274745055265"
"VIS","OXR","0.23444976076555024","1.0","0.9790274745055266"
"VCT","ABI","0.2645161290322581","1.0","0.8891531407900645"
"VLD","ABY","0.7019230769230769","1.0","1.0"
"DUT","ADK","0.6644295302013423","1.0","1.0"
"DUT","BET","0.5037878787878788","1.0","1.0"
"DUT","ADQ","0.3194444444444444","1.0","1.0"
"TYR","ACT","0.5548098434004475","1.0","0.7253943347782331"
"TYR","ILE","0.5494736842105263","0.903114186851211","0.7204818173638843"
"SPS","BPT","0.3237822349570201","1.0","0.9597607768554276"
"WRG","SIT","0.07002561912894961","0.7256637168141593","0.1931318400898428"
"WRG","JNU","0.04041487839771102","1.0","0.2035277562190569"
"WRG","SEA","7.529014250036727E-4","0.7256637168141593","0.04447472456641637"
"YUM","IYK","0.2703296703296703","1.0","0.8122680616590816"
"YUM","FLG","0.26153846153846155","1.0","0.5483666239048652"
"YUM","CLD","0.189010989010989","1.0","0.8122680616590817"
"YAK","PSG","0.2294776119402985","0.4979757085020243","0.5338685142801958"
"YAK","KTN","0.14295977011494254","0.4830097087378641","0.21397582995386158"
"YAK","GST","0.09951456310679611","1.0","0.6826848532967431"
"YAK","SIT","0.06520247083047358","0.23058252427184467","0.07317365436764042"
"YAK","FAI","0.02368201832678805","0.4830097087378641","0.10931664766679788"
"YAK","ANC","0.006396892428859073","0.8713592233009708","0.043330680004176565"
"YAK","SEA","0.0018241149834088033","0.4830097087378641","0.04339069321197189"
"MEI","JLN","0.307909604519774","1.0","0.7980298925866588"
"GPT","BRO","0.3037293348712034","1.0","0.5721373713406994"
"GST","PSG","0.1659919028340081","1.0","0.7820131231886857"
"GST","YAK","0.09951456310679611","1.0","0.6826848532967431"
"GST","SIT","0.035964912280701755","1.0","0.10718511479239454"
"GST","KTN","0.03477523324851569","1.0","0.3134328071298992"
"GST","FAI","0.0050061050061050065","1.0","0.16012754221643927"
"GST","ANC","7.312549047585076E-4","1.0","0.04882671023019065"
"GST","SEA","3.7655789348003786E-4","1.0","0.06355889251451026"
"GUM","PPG","0.6837674296237832","1.0","1.0"
"GUM","CLT","0.05304214345520514","1.0","0.4798520864463121"
"GUM","IAD","0.05250870309996132","1.0","0.4430943464919595"
"GUM","STL","0.05203784072395712","1.0","0.398954677640026"
"GJT","BRO","0.3017570664629488","1.0","0.8689554197585648"
"GNV","BQK","0.4006734006734007","1.0","0.7142128391425071"
"GNV","ABY","0.24579124579124578","1.0","0.7142128391425071"
"GCC","CPR","0.5589430894308943","1.0","0.8919076261093061"
"GCC","LWS","0.3961352657004831","0.8893709327548807","0.7092300552801794"
"GCC","BTM","0.3628048780487805","1.0","0.7092300552801795"
"GCC","WYS","0.2774390243902439","1.0","0.7092300552801794"
"DLH","LSE","0.6931608133086876","1.0","0.9877833200353925"
"DRO","BFL","0.48148148148148145","1.0","0.9665455659863534"
"DRO","BRO","0.3682983682983683","1.0","0.8768348087184424"
"EAU","PAH","0.6203703703703703","0.783625730994152","0.9479734811876243"
"EAU","DBQ","0.4106145251396648","1.0","0.9479734811876244"
"EAU","MKG","0.329608938547486","1.0","0.9479734811876241"
"IPL","VIS","0.46883468834688347","0.8277511961722488","0.8357097585968344"
"IPL","IYK","0.36936936936936937","1.0","0.8536121614144925"
"IPL","CLD","0.25825825825825827","1.0","0.8536121614144926"
"IPL","OXR","0.14714714714714713","1.0","0.8536121614144925"
"DHN","ABY","0.8588235294117647","1.0","1.0"
"DVL","AZA","0.8252427184466019","1.0","0.9916436910419275"
"DLG","BET","0.7","0.8245614035087719","0.9774970243171384"
"DLG","ADQ","0.6325","1.0","0.9774970243171385"
"DLG","OTZ","0.40971357409713577","0.8225","0.9273351008637463"
"DLG","ADK","0.2604908946951702","0.8225","0.9774970243171384"
"DLG","BRW","0.21889554224883567","0.8225","0.7824927655914657"
"CHA","CMI","0.5123171670515781","1.0","0.8673730976955065"
"CLL","BPT","0.6819484240687679","1.0","0.9903244858012015"
"FLO","ABY","0.5347985347985348","1.0","1.0"
"GTR","GRI","0.4051155115511551","0.875222816399287","0.7834878061147041"
"CDV","ADQ","0.34334763948497854","0.6324110671936759","0.600600431343408"
"CDV","BET","0.26143790849673204","0.4289544235924933","0.600600431343408"
"CDV","OTZ","0.1693121693121693","0.4289544235924933","0.5697795980174255"
"CDV","ADK","0.11387900355871886","0.4289544235924933","0.600600431343408"
"CRP","GRK","0.6817058096415327","1.0","0.9593262381965147"
"CEC","RDD","0.3235772357723577","1.0","0.7586333203325538"
"CEC","CIC","0.24878048780487805","1.0","0.7586333203325539"
"CEC","MOD","0.12682926829268293","1.0","0.7586333203325538"
"SCC","BRW","0.6112469437652812","0.8305647840531561","0.9360193990797783"
"SCC","DUT","0.4579985390796202","0.7916666666666666","0.8276739114880738"
"SCC","KSM","0.36710963455149503","1.0","0.8276739114880738"
"SCC","BET","0.3313953488372093","1.0","0.8276739114880737"
"SCC","JNU","0.3089005235602094","0.7840531561461794","0.6049344064548081"
"SCC","DLG","0.2580392156862745","0.8225","0.8090487855845188"
"SCC","ADQ","0.2101328903654485","1.0","0.8276739114880739"
"UTM","ABY","0.4207492795389049","1.0","1.0"
"SPN","HNL","0.0012549858935694135","1.0","0.19709717844602534"
