"OriginAirport","FlightDurationMins","DestinationAirport","Flight_Number","AirlineName","FlightDistance","TailNumber","ScheduledDepartureTime","ScheduledArrivalTime"
"Albuquerque International Sunport","275","Hartsfield-Jackson Atlanta International","602","Delta Air Lines Inc.","1269","N381D1","2002-01-22T11:35Z","2002-01-22T16:10Z"
"Albuquerque International Sunport","300","Hartsfield-Jackson Atlanta International","1478","Delta Air Lines Inc.","1269","N934DN","2012-09-07T10:24Z","2012-09-07T15:24Z"
"Albuquerque International Sunport","291","Hartsfield-Jackson Atlanta International","944","Delta Air Lines Inc.","1269","N920DL","1999-01-26T11:42Z","1999-01-26T16:33Z"
"Albuquerque International Sunport","296","Hartsfield-Jackson Atlanta International","602","Delta Air Lines Inc.","1269","N385DN","2002-09-19T12:44Z","2002-09-19T17:40Z"
"Albuquerque International Sunport","305","Hartsfield-Jackson Atlanta International","562","Delta Air Lines Inc.","1269","N3752","2003-09-13T08:02Z","2003-09-13T13:07Z"
"Albuquerque International Sunport","288","Hartsfield-Jackson Atlanta International","562","Delta Air Lines Inc.","1269","N3748Y","2003-09-09T08:03Z","2003-09-09T12:51Z"
"Albuquerque International Sunport","287","Hartsfield-Jackson Atlanta International","1100","Delta Air Lines Inc.","1269","N909DL","1996-05-23T07:29Z","1996-05-23T12:16Z"
"Albuquerque International Sunport","293","Hartsfield-Jackson Atlanta International","1452","Delta Air Lines Inc.","1269","N915DN","2014-01-29T06:13Z","2014-01-29T11:06Z"
"Albuquerque International Sunport","293","Hartsfield-Jackson Atlanta International","1022","Delta Air Lines Inc.","1269","N348NW","2011-09-16T13:08Z","2011-09-16T18:01Z"
"Albuquerque International Sunport","287","Hartsfield-Jackson Atlanta International","2098","Delta Air Lines Inc.","1269","N375DA","2002-09-29T06:40Z","2002-09-29T11:27Z"
"Albuquerque International Sunport","312","Hartsfield-Jackson Atlanta International","944","Delta Air Lines Inc.","1269","N224DA","2000-05-06T11:29Z","2000-05-06T16:41Z"
"Albuquerque International Sunport","278","Hartsfield-Jackson Atlanta International","2292","Delta Air Lines Inc.","1269","N382D1","2001-01-22T00:18Z","2001-01-22T04:56Z"
"Albuquerque International Sunport","281","Hartsfield-Jackson Atlanta International","2022","Delta Air Lines Inc.","1269","N987DL","1999-09-29T00:45Z","1999-09-29T05:26Z"
"Albuquerque International Sunport","328","Hartsfield-Jackson Atlanta International","1896","Delta Air Lines Inc.","1269","N380DA","2000-09-06T11:29Z","2000-09-06T16:57Z"
"Albuquerque International Sunport","290","Hartsfield-Jackson Atlanta International","2022","Delta Air Lines Inc.","1269","N641DL","1997-05-15T00:53Z","1997-05-15T05:43Z"
"Albuquerque International Sunport","284","Hartsfield-Jackson Atlanta International","934","Delta Air Lines Inc.","1269","N371DA","2004-09-12T06:32Z","2004-09-12T11:16Z"
"Albuquerque International Sunport","293","Hartsfield-Jackson Atlanta International","1962","Delta Air Lines Inc.","1269","N936DL","2009-09-26T06:17Z","2009-09-26T11:10Z"
"Albuquerque International Sunport","291","Hartsfield-Jackson Atlanta International","2022","Delta Air Lines Inc.","1269","N933DL","1996-09-29T00:53Z","1996-09-29T05:44Z"
"Albuquerque International Sunport","292","Hartsfield-Jackson Atlanta International","2022","Delta Air Lines Inc.","1269","N982DL","1996-05-17T00:49Z","1996-05-17T05:41Z"
"Albuquerque International Sunport","302","Hartsfield-Jackson Atlanta International","1452","Delta Air Lines Inc.","1269","N939DL","2010-09-19T08:13Z","2010-09-19T13:15Z"
"Albuquerque International Sunport","271","Hartsfield-Jackson Atlanta International","1522","Delta Air Lines Inc.","1269","N941DL","1998-01-31T00:25Z","1998-01-31T04:56Z"
"Albuquerque International Sunport","298","Hartsfield-Jackson Atlanta International","1022","Delta Air Lines Inc.","1269","N932DN","2012-01-08T13:31Z","2012-01-08T18:29Z"
"Albuquerque International Sunport","313","Hartsfield-Jackson Atlanta International","944","Delta Air Lines Inc.","1269","N222DZ","2000-01-31T11:31Z","2000-01-31T16:44Z"
"Albuquerque International Sunport","298","Hartsfield-Jackson Atlanta International","2098","Delta Air Lines Inc.","1269","N971DL","1998-05-01T07:20Z","1998-05-01T12:18Z"
"Albuquerque International Sunport","296","Hartsfield-Jackson Atlanta International","2352","Delta Air Lines Inc.","1269","N548US","2014-05-10T13:31Z","2014-05-10T18:27Z"
"Albuquerque International Sunport","302","Hartsfield-Jackson Atlanta International","944","Delta Air Lines Inc.","1269","N976DL","1999-09-09T11:26Z","1999-09-09T16:28Z"
"Albuquerque International Sunport","289","Hartsfield-Jackson Atlanta International","2098","Delta Air Lines Inc.","1269","N232DZ","2000-01-25T07:28Z","2000-01-25T12:17Z"
"Albuquerque International Sunport","310","Hartsfield-Jackson Atlanta International","527","Delta Air Lines Inc.","1269","N521US","2013-09-08T13:21Z","2013-09-08T18:31Z"
"Albuquerque International Sunport","299","Hartsfield-Jackson Atlanta International","1260","Delta Air Lines Inc.","1269","N390DA","2004-05-28T11:19Z","2004-05-28T16:18Z"
"Albuquerque International Sunport","286","Hartsfield-Jackson Atlanta International","2098","Delta Air Lines Inc.","1269","N37700","2002-09-04T06:44Z","2002-09-04T11:30Z"
"Albuquerque International Sunport","311","Hartsfield-Jackson Atlanta International","1784","Delta Air Lines Inc.","1269","N617DL","2015-05-28T13:03Z","2015-05-28T18:14Z"
"Albuquerque International Sunport","304","Hartsfield-Jackson Atlanta International","527","Delta Air Lines Inc.","1269","N539US","2013-09-07T13:16Z","2013-09-07T18:20Z"
"Albuquerque International Sunport","297","Hartsfield-Jackson Atlanta International","1298","Delta Air Lines Inc.","1269","N932DL","2009-09-20T08:13Z","2009-09-20T13:10Z"
"Albuquerque International Sunport","302","Hartsfield-Jackson Atlanta International","1060","Delta Air Lines Inc.","1269","N689DL","2004-05-06T07:56Z","2004-05-06T12:58Z"
"Albuquerque International Sunport","291","Hartsfield-Jackson Atlanta International","2098","Delta Air Lines Inc.","1269","N390DA","2000-09-26T07:32Z","2000-09-26T12:23Z"
"Albuquerque International Sunport","294","Hartsfield-Jackson Atlanta International","944","Delta Air Lines Inc.","1269","N935DL","1999-01-01T11:46Z","1999-01-01T16:40Z"
"Albuquerque International Sunport","284","Hartsfield-Jackson Atlanta International","1452","Delta Air Lines Inc.","1269","N916DN","2013-01-18T06:23Z","2013-01-18T11:07Z"
"Albuquerque International Sunport","281","Hartsfield-Jackson Atlanta International","2292","Delta Air Lines Inc.","1269","N394DA","2000-09-22T00:26Z","2000-09-22T05:07Z"
