"OriginAirport","Airline","FlightNumber","FlightDistance","ScheduledDepartTime","ScheduledArrivalTime","DestinationAirport"
"Albuquerque International Sunport","Delta Air Lines Inc.","1424","1269","2011-09-19T08:45Z","2011-09-19T13:42Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","944","1269","1997-09-18T11:48Z","1997-09-18T16:39Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","934","1269","2003-05-27T07:00Z","2003-05-27T11:53Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","1398","1269","2013-09-16T07:54Z","2013-09-16T12:46Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","2098","1269","1996-09-24T07:32Z","1996-09-24T12:34Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","1452","1269","2012-01-01T08:50Z","2012-01-01T13:43Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","1784","1269","2014-09-11T13:05Z","2014-09-11T17:55Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","1147","1269","2011-05-25T07:59Z","2011-05-25T12:47Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","2098","1269","2002-05-02T07:13Z","2002-05-02T11:52Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","1784","1269","2015-09-08T13:03Z","2015-09-08T17:52Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","1522","1269","1998-01-06T00:37Z","1998-01-06T05:29Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","602","1269","2003-01-21T11:50Z","2003-01-21T16:34Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","1022","1269","2012-01-12T13:46Z","2012-01-12T18:39Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","1157","1269","2004-09-04T07:56Z","2004-09-04T12:45Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","602","1269","2003-09-22T11:19Z","2003-09-22T16:14Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","602","1269","2001-05-28T11:30Z","2001-05-28T16:43Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","2022","1269","1998-09-04T00:41Z","1998-09-04T05:35Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","2022","1269","1999-01-20T00:44Z","1999-01-20T05:23Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","2352","1269","2014-05-26T13:19Z","2014-05-26T18:19Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","1962","1269","2009-05-25T06:24Z","2009-05-25T11:31Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","602","1269","2002-01-22T11:35Z","2002-01-22T16:10Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","1478","1269","2012-09-07T10:24Z","2012-09-07T15:24Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","944","1269","1999-01-26T11:42Z","1999-01-26T16:33Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","602","1269","2002-09-19T12:44Z","2002-09-19T17:40Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","562","1269","2003-09-13T08:02Z","2003-09-13T13:07Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","562","1269","2003-09-09T08:03Z","2003-09-09T12:51Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","1100","1269","1996-05-23T07:29Z","1996-05-23T12:16Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","1452","1269","2014-01-29T06:13Z","2014-01-29T11:06Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","1022","1269","2011-09-16T13:08Z","2011-09-16T18:01Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","2098","1269","2002-09-29T06:40Z","2002-09-29T11:27Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","944","1269","2000-05-06T11:29Z","2000-05-06T16:41Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","2292","1269","2001-01-22T00:18Z","2001-01-22T04:56Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","2022","1269","1999-09-29T00:45Z","1999-09-29T05:26Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","1896","1269","2000-09-06T11:29Z","2000-09-06T16:57Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","2022","1269","1997-05-15T00:53Z","1997-05-15T05:43Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","934","1269","2004-09-12T06:32Z","2004-09-12T11:16Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","1962","1269","2009-09-26T06:17Z","2009-09-26T11:10Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","2022","1269","1996-09-29T00:53Z","1996-09-29T05:44Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","2022","1269","1996-05-17T00:49Z","1996-05-17T05:41Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","1452","1269","2010-09-19T08:13Z","2010-09-19T13:15Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","1522","1269","1998-01-31T00:25Z","1998-01-31T04:56Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","1022","1269","2012-01-08T13:31Z","2012-01-08T18:29Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","944","1269","2000-01-31T11:31Z","2000-01-31T16:44Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","2098","1269","1998-05-01T07:20Z","1998-05-01T12:18Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","2352","1269","2014-05-10T13:31Z","2014-05-10T18:27Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","944","1269","1999-09-09T11:26Z","1999-09-09T16:28Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","2098","1269","2000-01-25T07:28Z","2000-01-25T12:17Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","527","1269","2013-09-08T13:21Z","2013-09-08T18:31Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","1260","1269","2004-05-28T11:19Z","2004-05-28T16:18Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","2098","1269","2002-09-04T06:44Z","2002-09-04T11:30Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","1784","1269","2015-05-28T13:03Z","2015-05-28T18:14Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","527","1269","2013-09-07T13:16Z","2013-09-07T18:20Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","1298","1269","2009-09-20T08:13Z","2009-09-20T13:10Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","1060","1269","2004-05-06T07:56Z","2004-05-06T12:58Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","2098","1269","2000-09-26T07:32Z","2000-09-26T12:23Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","944","1269","1999-01-01T11:46Z","1999-01-01T16:40Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","1452","1269","2013-01-18T06:23Z","2013-01-18T11:07Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","2292","1269","2000-09-22T00:26Z","2000-09-22T05:07Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","2068","1269","2015-09-29T07:54Z","2015-09-29T12:52Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","2041","1269","2009-05-29T08:38Z","2009-05-29T13:53Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","1577","1269","2016-05-11T06:18Z","2016-05-11T11:10Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","2098","1269","2002-01-18T06:57Z","2002-01-18T11:42Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","1022","1269","2012-09-18T13:01Z","2012-09-18T17:58Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","1452","1269","2014-09-22T06:20Z","2014-09-22T11:12Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","2098","1269","1998-01-25T07:59Z","1998-01-25T12:41Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","602","1269","2002-05-21T11:26Z","2002-05-21T16:27Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","1452","1269","2014-09-11T06:19Z","2014-09-11T11:20Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","1784","1269","2014-09-19T13:07Z","2014-09-19T17:54Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","1100","1269","1996-01-23T07:30Z","1996-01-23T12:06Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","1976","1269","2009-05-30T13:15Z","2009-05-30T18:09Z","Hartsfield-Jackson Atlanta International"
