"Airport","Article_Rank_Score"
"FAT","0.2893376056543713"
"FWA","0.26991548974295904"
"FSM","0.25783626771342727"
"GRI","0.2509636299417335"
"FLL","0.5802590065596464"
"FAR","0.2707631264527341"
"FAI","0.28831117724958144"
"EVV","0.26390131721331905"
"XNA","0.2892200111433403"
"FAY","0.2616146635203601"
"FLG","0.2546522498347537"
"DLH","0.26008521751250957"
"EUG","0.2702539646378831"
"ELM","0.25798046297176574"
"ERI","0.25506658314810604"
"ESC","0.25053143673021505"
"EKO","0.25488600510304693"
"ELP","0.3805817782749936"
"DTW","1.1615899750470486"
"DRO","0.25740952705036657"
"EAU","0.2515468374986299"
"IPL","0.2515796877800484"
"EGE","0.258127916086638"
"DBQ","0.2528653131429171"
"DHN","0.25454296551135086"
"DVL","0.25062812475112983"
"DIK","0.25110054440377927"
"DLG","0.25158067155109687"
"STX","0.25553786976997217"
"CIC","0.25315122701757037"
"CVG","0.6838861578318853"
"CLE","0.5893629569288823"
"CHA","0.26831509400851594"
"CYS","0.2502248469864045"
"CHO","0.2560274915281987"
"STT","0.26873760472585073"
"COS","0.3146632183225417"
"CLL","0.25761861861738916"
"COD","0.25313163681399936"
"FNT","0.2673761604997827"
"FLO","0.2510279702981889"
"CMH","0.44068521390836907"
"CSG","0.25569729195331725"
"GTR","0.25363861136798455"
"DAY","0.31865147689643086"
"CDV","0.2570468433887868"
"DEN","1.383953219592293"
"DSM","0.3047204401341549"
"CRP","0.2823495877956471"
"CEC","0.25333463106399084"
"PUB","0.25024080064299553"
"DAB","0.2638350832325373"
"SCC","0.2554129750711664"
"DRT","0.2501152936827739"
"COU","0.25155329288306133"
"CAE","0.2872891634393085"
"UTM","0.25006632066439927"
"SPN","0.2500330926035074"
"SHD","0.2500324959760448"
"RFD","0.25003210675239934"
