"Airport","Article_Rank_Score"
"SAV","-0.21868574882669176"
"SRQ","-0.2732381348212563"
"CIU","-0.38396371728921636"
"SAF","-0.374544949552978"
"SMX","-0.3724372131992978"
"SNA","0.48984092963870945"
"SJC","0.7145253916920279"
"SBP","-0.32998787588988193"
"SJU","0.11072903693344313"
"DAL","0.7694457691001595"
"PVD","0.0374811158024556"
"MEI","-0.3762893434584973"
"BMI","-0.3487248146641553"
"MDT","-0.23771291587231577"
"HRL","-0.2762556225464684"
"GUC","-0.37841413092530585"
"GPT","-0.31963968105373997"
"CMX","-0.3805849110097629"
"GST","-0.3855757354042078"
"GUM","-0.3814579550638833"
"GRR","-0.15421584908576422"
"GRB","-0.2986659606031657"
"GTF","-0.3271659451298938"
"GJT","-0.33713596728220896"
"GFK","-0.36059982478292957"
"GNV","-0.34912093201533195"
"GCC","-0.3704643606247997"
"FAT","-0.23943199621632516"
"FWA","-0.31192385571418824"
"FSM","-0.3570088129970242"
"GRI","-0.38266051304854065"
"FLL","0.8464143356426436"
"FAR","-0.3087601035488467"
"FAI","-0.24326307744578685"
"EVV","-0.33437138676606465"
"XNA","-0.23987091053494322"
"FAY","-0.3429061817897545"
"FLG","-0.36889296494793816"
"DLH","-0.3486147454507057"
"EUG","-0.3106605188749733"
"ELM","-0.3564706130163728"
"ERI","-0.3673464912025533"
"ESC","-0.3842736477712572"
"EKO","-0.36802048770893453"
"ELP","0.10113129625822591"
"DTW","3.016196612793165"
"DRO","-0.35860159641618006"
"EAU","-0.3804837265199532"
"IPL","-0.38036111485416363"
"EGE","-0.3559202532855074"
"DBQ","-0.37556259683496035"
"DHN","-0.36930086199960716"
"DVL","-0.3839127656480503"
"DIK","-0.38214948819465144"
"DLG","-0.3803574429889071"
"STX","-0.36558744271724036"
"CIC","-0.3744954407885032"
"CVG","1.233196338409752"
"CLE","0.88039427346468"
"CHA","-0.31789723488932015"
"CYS","-0.3854179752345044"
"CHO","-0.3637599594571081"
"STT","-0.3163202394838207"
"COS","-0.14490569621831345"
"CLL","-0.35782117493337534"
"COD","-0.37456856002490785"
"FNT","-0.3214017467717218"
"FLO","-0.3824203666040707"
"CMH","0.325463692952109"
