"Airport","Article_Rank_Score"
"MHT","0.02762482933239908"
"MSN","0.01772495979663606"
"MMH","1.5998397846931885E-4"
"LBB","0.019504129414617048"
"LYH","5.107702187336509E-4"
"MCN","4.469802401116919E-4"
"MFR","0.006300930124703013"
"MQT","0.00114518562842854"
"MVY","9.33545685094801E-5"
"MAZ","1.3707547117558252E-5"
"RSW","0.05072013857406223"
"MLB","0.004782887726914889"
"HNL","0.10627726123542126"
"MKK","3.311454961730546E-5"
"BDL","0.06687599987794782"
"MEM","0.12183664323382863"
"HLN","0.0036709355708952987"
"HDN","0.0022302305297748092"
"GSP","0.020877867572215544"
"GSO","0.0335265307900998"
"MSP","0.36850690068949776"
"ITO","0.011618486447412544"
"HOB","3.9464738295990855E-4"
"PIB","2.3809975504472165E-4"
"HIB","4.937649214593878E-4"
"LGA","0.25850038960060506"
"JFK","0.19751614166221873"
"MSY","0.11657367047597468"
"EWR","0.3075267379878362"
"ORF","0.04053663343496957"
"OME","0.00405442839332705"
"PHF","0.004793673652405373"
"IAG","7.718699964791474E-5"
"SWF","0.004951590075786112"
"OAK","0.14265630359443243"
"OTH","7.859873924924563E-4"
"OMA","0.047108280901595884"
"ONT","0.07437767021038735"
"MCO","0.267483788208105"
"BNA","0.13666737716041671"
"HVN","2.4091001392289473E-4"
"EWN","8.793345396607594E-4"
"MRY","0.007984477204035405"
"MYR","0.008701871833184648"
"CWA","0.001880003485214443"
"MKG","5.314132612417271E-4"
"ACK","4.127539901994891E-4"
"APF","6.565732655117394E-5"
"MTJ","0.0025106751438295216"
"MOB","0.012814597879923163"
"MGM","0.0068099101726735705"
"MWH","7.794748860237307E-5"
"MLU","0.007089348961301071"
"MLI","0.008362577619392571"
"MFE","0.008728306630967287"
"MOD","0.0013197706095248137"
"PNS","0.01808273242280069"
"PSG","0.0030509165206429757"
"PSP","0.019259771793374066"
"PIA","0.00563284048428707"
"PSC","0.006106073913811561"
"PLN","2.8433337703141044E-4"
"PHL","0.2516846393477741"
"ECP","0.004332710028335204"
"PFN","0.0019434579459019104"
"OXR","7.321628942428533E-4"
"PAH","6.323648209249211E-4"
"PPG","7.23298695289577E-5"
"MOT","0.003377844191199135"
"CNY","6.180698690729427E-5"
"MSO","0.006997136965937437"
"MIB","2.9333887086738246E-5"
"MAF","0.020050554131484752"
"MKE","0.06458894439545133"
"MIA","0.18008585077246092"
"PHX","0.4583347210480947"
"PIT","0.19810160248474948"
"PDX","0.14030057747503624"
"PWM","0.01730681378206394"
"PSE","9.07564934296843E-4"
"AZA","1.3725161047211604E-5"
"PIH","0.0017688335306767446"
"PBG","7.718699964791474E-5"
"SMF","0.10530850840935148"
"ROA","0.007109363281392373"
"RIC","0.039688490078890394"
"RDU","0.09734534765890207"
"RNO","0.05704380616707348"
"RHI","7.353060075019411E-4"
"SAN","0.1846649555840579"
"SAT","0.09637858417913206"
"SJT","0.0023387007477652625"
"SLC","0.3027518351490967"
"SFO","0.3808034413405114"
"MBS","0.00697148172189467"
"ROC","0.03182858733041906"
"RKS","0.0020518087026225183"
"ROW","0.0011081532922645034"
"RST","0.00547794768685586"
"RAP","0.006964121872848745"
"RDD","0.0018912687969127196"
"FSD","0.01115305594588102"
"SEA","0.278498241270191"
"GEG","0.03250246621426761"
"SBN","0.008540230026301627"
"SIT","0.005082700566909733"
"SGU","0.0031866743560034208"
"SGF","0.011337900799907416"
"SPI","0.0018462688916535289"
"UST","7.70169383135081E-5"
"STC","6.703608669934355E-5"
"STL","0.28031032063192496"
"SUX","9.357265971435823E-4"
"SHV","0.014073091141545674"
"TLH","0.009145955830202467"
"SYR","0.025025349108160205"
"SUN","0.0025372461023356863"
"SCE","0.0010102655508002552"
"KSM","4.655068217745384E-5"
"PIE","6.720476340809278E-4"
"TPA","0.16204336438580058"
"TUS","0.045125895758433926"
"TTN","0.0011368837024875002"
"TVC","0.004846635624084552"
"TOL","0.0045215251279790356"
"TXK","0.0020910123908625547"
"TEX","8.408309582209128E-5"
"ACT","0.002688672364066612"
"VIS","3.7286020871032477E-4"
"VEL","7.691341649810528E-5"
"VCT","2.46788358405577E-4"
"VPS","0.009415730221400917"
"VLD","0.0014747076734659627"
"DUT","0.0011540197686817234"
"TYR","0.003578799395276749"
"TWF","0.0019727703301536184"
"DCA","0.19754826838686718"
"IAD","0.1635298360674628"
"PBI","0.05791894267782583"
