"Airport","Page_Rank_Score"
"CRP","-0.2770833602104135"
"CEC","-0.3576925772250659"
"PUB","-0.37594453168806674"
"DAB","-0.32794294326104334"
"SCC","-0.3118688955434047"
"DRT","-0.37648487197028213"
"COU","-0.37153765926289645"
"CAE","-0.25094745343357916"
"UTM","-0.376632347063355"
"SPN","-0.37388212470445276"
"SHD","-0.3767813943370245"
"RFD","-0.3767546703432424"
